std,frac,mean,ssim,cmsc,gcmsc
0.089,1,0,0.7933164735698979,0.7525995496006692,0.741063598310876
0.09,1,0,0.7902566190362228,0.7500940257166676,0.7384326085376748
0.091,1,0,0.7872039153380971,0.7476029006482819,0.7358168034701104
0.092,1,0,0.7841578011233948,0.7451258479839105,0.7332156285700335
0.093,1,0,0.781118974558849,0.7426626356690132,0.7306288757005293
0.094,1,0,0.778090946197305,0.7402159667304958,0.7280591609969866
0.095,1,0,0.7750716264923577,0.7377834269175388,0.7255041202941821
0.096,1,0,0.7720605072264256,0.735364668419562,0.7229634930336041
0.097,1,0,0.7690579822315401,0.7329596785832809,0.7204372948394815
0.098,1,0,0.766064409793977,0.7305687658740034,0.7179259549661074
0.099,1,0,0.7630807126986919,0.7281925929908668,0.7154297161550737
0.1,1,0,0.7601070767749128,0.7258307591499044,0.7129483603392575
